gene_symbol	safety_gate	critical_tissue_flag	note
ACSM1	UNKNOWN	UNKNOWN	not in local safety table
ACSM2A	UNKNOWN	UNKNOWN	not in local safety table
ACSM2B	UNKNOWN	UNKNOWN	not in local safety table
ACSM3	UNKNOWN	UNKNOWN	not in local safety table
ACSM5	UNKNOWN	UNKNOWN	not in local safety table
ACSM6	UNKNOWN	UNKNOWN	not in local safety table
ACSS1	UNKNOWN	UNKNOWN	not in local safety table
ACSS2	UNKNOWN	UNKNOWN	not in local safety table
ACSS3	UNKNOWN	UNKNOWN	not in local safety table
ACTA1	UNKNOWN	UNKNOWN	not in local safety table
ACTA2	UNKNOWN	UNKNOWN	not in local safety table
ACTA2-AS1	UNKNOWN	UNKNOWN	not in local safety table
ACTB	EXCLUDED	housekeeping	housekeeping gene
ACTBL2	UNKNOWN	UNKNOWN	not in local safety table
ACTBP14	UNKNOWN	UNKNOWN	not in local safety table
ACTC1	UNKNOWN	UNKNOWN	not in local safety table
ACTG1	UNKNOWN	UNKNOWN	not in local safety table
ACTG1P14	UNKNOWN	UNKNOWN	not in local safety table
ACTG1P16	UNKNOWN	UNKNOWN	not in local safety table
ACTG1P17	UNKNOWN	UNKNOWN	not in local safety table
ACTG1P23	UNKNOWN	UNKNOWN	not in local safety table
ACTG1P24	UNKNOWN	UNKNOWN	not in local safety table
ACTG2	UNKNOWN	UNKNOWN	not in local safety table
ACTL10	UNKNOWN	UNKNOWN	not in local safety table
ACTL11P	UNKNOWN	UNKNOWN	not in local safety table
ACTL6A	UNKNOWN	UNKNOWN	not in local safety table
ACTL6B	UNKNOWN	UNKNOWN	not in local safety table
ACTL7A	UNKNOWN	UNKNOWN	not in local safety table
ACTL7B	UNKNOWN	UNKNOWN	not in local safety table
ACTL8	UNKNOWN	UNKNOWN	not in local safety table
ACTL9	UNKNOWN	UNKNOWN	not in local safety table
ACTMAP	UNKNOWN	UNKNOWN	not in local safety table
ACTN1	UNKNOWN	UNKNOWN	not in local safety table
ACTN2	UNKNOWN	UNKNOWN	not in local safety table
ACTN3	UNKNOWN	UNKNOWN	not in local safety table
ACTN4	UNKNOWN	UNKNOWN	not in local safety table
ACTN4P1	UNKNOWN	UNKNOWN	not in local safety table
ACTR10	UNKNOWN	UNKNOWN	not in local safety table
ACTR1A	UNKNOWN	UNKNOWN	not in local safety table
ACTR1AP1	UNKNOWN	UNKNOWN	not in local safety table
ACTR1B	UNKNOWN	UNKNOWN	not in local safety table
ACTR2	UNKNOWN	UNKNOWN	not in local safety table
ACTR3	UNKNOWN	UNKNOWN	not in local safety table
ACTR3-AS1	UNKNOWN	UNKNOWN	not in local safety table
ACTR3B	UNKNOWN	UNKNOWN	not in local safety table
ACTR3C	UNKNOWN	UNKNOWN	not in local safety table
ACTR5	UNKNOWN	UNKNOWN	not in local safety table
ACTR6	UNKNOWN	UNKNOWN	not in local safety table
ACTR8	UNKNOWN	UNKNOWN	not in local safety table
ACTRT1	UNKNOWN	UNKNOWN	not in local safety table
ACTRT2	UNKNOWN	UNKNOWN	not in local safety table
ACTRT3	UNKNOWN	UNKNOWN	not in local safety table
ACVR1	UNKNOWN	UNKNOWN	not in local safety table
ACVR1B	UNKNOWN	UNKNOWN	not in local safety table
ACVR1C	UNKNOWN	UNKNOWN	not in local safety table
ACVR2A	UNKNOWN	UNKNOWN	not in local safety table
ACVR2B	UNKNOWN	UNKNOWN	not in local safety table
ACVR2B-AS1	UNKNOWN	UNKNOWN	not in local safety table
ACVRL1	UNKNOWN	UNKNOWN	not in local safety table
ACY1	UNKNOWN	UNKNOWN	not in local safety table
ACY3	UNKNOWN	UNKNOWN	not in local safety table
ACYP1	UNKNOWN	UNKNOWN	not in local safety table
ACYP2	UNKNOWN	UNKNOWN	not in local safety table
ADA	UNKNOWN	UNKNOWN	not in local safety table
ADA2	UNKNOWN	UNKNOWN	not in local safety table
ADAD1	UNKNOWN	UNKNOWN	not in local safety table
ADAD2	UNKNOWN	UNKNOWN	not in local safety table
ADAL	UNKNOWN	UNKNOWN	not in local safety table
ADAM10	UNKNOWN	UNKNOWN	not in local safety table
ADAM11	UNKNOWN	UNKNOWN	not in local safety table
ADAM12	UNKNOWN	UNKNOWN	not in local safety table
ADAM15	UNKNOWN	UNKNOWN	not in local safety table
ADAM17	UNKNOWN	UNKNOWN	not in local safety table
ADAM18	UNKNOWN	UNKNOWN	not in local safety table
ADAM19	UNKNOWN	UNKNOWN	not in local safety table
ADAM2	UNKNOWN	UNKNOWN	not in local safety table
ADAM20	UNKNOWN	UNKNOWN	not in local safety table
ADAM20P1	UNKNOWN	UNKNOWN	not in local safety table
ADAM21	UNKNOWN	UNKNOWN	not in local safety table
ADAM22	UNKNOWN	UNKNOWN	not in local safety table
ADAM23	UNKNOWN	UNKNOWN	not in local safety table
ADAM28	UNKNOWN	UNKNOWN	not in local safety table
ADAM29	UNKNOWN	UNKNOWN	not in local safety table
ADAM30	UNKNOWN	UNKNOWN	not in local safety table
ADAM32	UNKNOWN	UNKNOWN	not in local safety table
ADAM33	UNKNOWN	UNKNOWN	not in local safety table
ADAM3A	UNKNOWN	UNKNOWN	not in local safety table
ADAM3B	UNKNOWN	UNKNOWN	not in local safety table
ADAM5	UNKNOWN	UNKNOWN	not in local safety table
ADAM6	UNKNOWN	UNKNOWN	not in local safety table
ADAM7	UNKNOWN	UNKNOWN	not in local safety table
ADAM8	UNKNOWN	UNKNOWN	not in local safety table
ADAM9	UNKNOWN	UNKNOWN	not in local safety table
ADAMDEC1	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS1	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS10	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS12	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS13	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS14	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS15	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS16	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS17	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS18	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS19	UNKNOWN	UNKNOWN	not in local safety table
