gene_symbol	GSM9336110	GSM9336111	GSM9336112	GSM9336113	GSM9336114	GSM9336115
GSTA1	0	0	4	18	0	4
GSTA2	0	0	1	0	0	0
GSTA4	255	288	297	185	183	241
GSTCD	324	363	461	342	260	294
GSTK1	1194	1518	1822	3222	2183	2755
GSTM1	122	88	295	802	584	654
GSTM2	172	147	236	94	64	94
GSTM3	749	958	988	388	328	362
GSTM4	140	173	224	214	152	181
GSTM5	0	12	0	0	0	0
GSTO1	4824	6578	6692	6527	5019	6207
GSTO2	0	2	2	0	4	4
GSTO3P	4	0	0	0	0	0
GSTP1	8028	12803	12058	16284	12290	15034
GSTT2	3	12	6	18	22	17
GSTT2B	197	289	369	302	296	464
GSTZ1	356	392	432	290	178	244
GTF2A1	838	1184	1284	897	911	887
GTF2A1-AS1	2	4	2	2	0	0
GTF2A2	696	847	958	988	873	912
GTF2B	450	534	614	602	490	454
GTF2E1	488	649	668	296	339	351
GTF2E2	936	1065	1233	1072	944	887
GTF2F1	2492	3393	3435	4265	3631	3746
GTF2F2	328	516	502	288	278	214
GTF2H1	851	1029	1135	903	811	1018
GTF2H2	220	394	338	262	117	174
GTF2H2C	680	848	996	650	446	623
GTF2H3	324	497	544	511	352	378
GTF2H4	2	9	0	0	0	2
GTF2H5	426	599	732	880	606	722
GTF2I	4513	5961	6934	4784	4009	4872
GTF2I-AS1	0	4	5	0	0	7
GTF2IP1	4	2	1	2	1	8
GTF2IP12	188	129	292	22	30	30
GTF2IP14	6	1	1	0	4	3
GTF2IP4	4	18	18	2	7	0
GTF2IP5	0	4	0	0	0	2
GTF2IRD1	560	771	833	707	623	658
GTF2IRD2	6	6	16	13	18	10
GTF2IRD2B	309	323	444	572	290	463
GTF3A	1558	1913	1865	1235	1109	1259
GTF3C1	5311	7164	7675	7833	6187	6653
GTF3C2	1746	2426	2764	2110	1803	1913
GTF3C2-AS1	2	5	1	0	1	0
GTF3C2-AS2	14	16	15	4	13	12
GTF3C3	972	1409	1641	1537	1363	1368
GTF3C4	1208	1554	1830	854	732	914
GTF3C5	1750	2046	2411	1165	929	1170
GTF3C6	622	861	890	634	557	630
GTPBP1	839	1009	1015	776	795	940
GTPBP2	1111	1390	1530	1382	1139	1290
GTPBP3	90	140	150	137	150	152
GTPBP4	1585	2186	2132	1663	1390	1630
GTPBP8	156	253	175	138	66	87
GTSE1	914	1147	1413	324	254	350
GTSF1	14	2	6	0	2	0
GUCA1B	6	2	13	0	0	2
GUCD1	930	1116	1016	1006	884	893
GUCY1A1	118	79	124	0	0	0
GUCY1A2	15	12	34	18	42	52
GUCY1B1	230	218	303	18	41	53
GUCY2D	0	0	1	0	0	0
GUCY2F	0	0	4	0	0	0
GUF1	404	636	709	293	288	428
GUK1	1918	2547	2449	2313	2044	2389
GULP1	151	212	210	286	250	337
GUSB	1666	1984	2332	3459	2989	2780
GUSBP1	15	18	18	18	13	9
GUSBP11	83	98	80	38	37	32
GUSBP2	3	2	0	2	0	0
GUSBP3	2	0	0	3	6	6
GUSBP9	194	227	280	77	55	55
