gene_symbol	logFC	p_value	adj_p_value	direction
FGD6	0.4851203125	4.18261239650636e-08	2.98215276992999e-06	up
PIK3R5	0.593401874999999	4.1834434380881e-08	2.98215276992999e-06	up
TWSG1	-0.596832499999999	4.20365236131695e-08	2.98537744003528e-06	down
STRN3	-0.3792159375	4.24699565757869e-08	3.00494677883626e-06	down
TKT	0.376217500000001	4.31307080460095e-08	3.03839538077618e-06	up
FERMT2	-0.699827812499999	4.32619738449191e-08	3.03839538077618e-06	down
PLVAP	0.49903375	4.39725865522132e-08	3.07694941120689e-06	up
SGCD	-0.765554687499999	4.44281530528726e-08	3.09743969617335e-06	down
GRAMD1B	0.40075	4.50109781707933e-08	3.12662024644055e-06	up
TPP1	0.596279375	4.54433549049393e-08	3.1415668555489e-06	up
TES	-0.6032221875	4.55562681727261e-08	3.1415668555489e-06	down
PTPRJ	0.666551249999999	4.64330297894749e-08	3.17954355461468e-06	up
MPP6	-1.057385	4.64410817098135e-08	3.17954355461468e-06	down
DNAJB4	-0.709263124999999	4.68923650721934e-08	3.18053333082161e-06	down
PDGFB	0.3371453125	4.71127291769725e-08	3.18053333082161e-06	up
NEXN	-1.02671125	4.71157224600865e-08	3.18053333082161e-06	down
SERGEF	-0.360784062499999	4.71239636048807e-08	3.18053333082161e-06	down
CCR1	1.179454375	4.78199294281767e-08	3.21059118077703e-06	up
LGALS9	0.756338749999999	4.79066828844993e-08	3.21059118077703e-06	up
PPP6R1	0.2975953125	4.84769219445396e-08	3.23433167395024e-06	up
CENPO	0.2994715625	4.86007911916024e-08	3.23433167395024e-06	up
KDM2A	0.231502187499999	4.9246278741989e-08	3.24406856012227e-06	up
MAPKAPK3	0.48917875	4.93170883388447e-08	3.24406856012227e-06	up
CYR61	-0.432212187500001	4.93603690831389e-08	3.24406856012227e-06	down
TNFRSF1B	0.7088428125	4.94288804936404e-08	3.24406856012227e-06	up
ACKR1	0.40408625	4.97174963886658e-08	3.25179762462363e-06	up
MAPK13	0.7967646875	5.01170479794849e-08	3.26670470614225e-06	up
DUSP26	-0.810664062499999	5.06209247072048e-08	3.28828689403491e-06	down
VIPR2	-0.782599374999998	5.15602705224214e-08	3.33791370358247e-06	down
TNFAIP8L2	0.407537812499999	5.21657027981152e-08	3.35387749353946e-06	up
LARGE1	-0.481548125	5.24040808660093e-08	3.35387749353946e-06	down
KIAA1549L	0.3547065625	5.24482329763588e-08	3.35387749353946e-06	up
PARM1	-0.930730937499999	5.2577604345028e-08	3.35387749353946e-06	down
GNAL	-0.543479999999999	5.28548614549515e-08	3.35387749353946e-06	down
GRIA3	-0.562134374999999	5.31532712308488e-08	3.35387749353946e-06	down
AKAP6	-0.894050312499999	5.32055486680705e-08	3.35387749353946e-06	down
NPR3	-1.2611921875	5.32317368140428e-08	3.35387749353946e-06	down
KIAA0100	0.244479375000001	5.36562074411834e-08	3.35387749353946e-06	up
GRINA	0.435308749999999	5.37242099904631e-08	3.35387749353946e-06	up
ITGAX	1.0705984375	5.39130236186805e-08	3.35387749353946e-06	up
FLNC	-0.76901875	5.39214266286489e-08	3.35387749353946e-06	down
PLCB4	-1.1945078125	5.42872574094192e-08	3.36563312792663e-06	down
TRPV4	0.412783437499999	5.47705924250438e-08	3.37228100148335e-06	up
GSR	0.37236875	5.48536898067475e-08	3.37228100148335e-06	up
MMP7	1.840230625	5.49292209524977e-08	3.37228100148335e-06	up
RUNX2	0.470178437499999	5.5119024743176e-08	3.37228100148335e-06	up
TMEM268	0.3209853125	5.52883559405601e-08	3.37228100148335e-06	up
PAM	-0.605128749999999	5.54575712428041e-08	3.37228100148335e-06	down
MCOLN1	0.55408	5.64488106805363e-08	3.40852924411486e-06	up
SLC25A13	0.278195625	5.66155014880469e-08	3.40852924411486e-06	up
MPDU1	0.5913053125	5.67217812444751e-08	3.40852924411486e-06	up
SLA	0.911497187499999	5.6770018934714e-08	3.40852924411486e-06	up
DCAF7	0.232817812499999	5.72130921913591e-08	3.42432950842182e-06	up
FZD6	-0.544176562499999	5.90009381709942e-08	3.50175009520241e-06	down
ELMO1	0.6370578125	5.9067132709095e-08	3.50175009520241e-06	up
MME	1.4850003125	5.91943644889293e-08	3.50175009520241e-06	up
ARHGEF26	-0.840177187499999	5.92425540196067e-08	3.50175009520241e-06	down
CNTN1	-1.9110321875	5.97081875331146e-08	3.51834654277947e-06	down
TMEM206	0.499274687499999	5.99798089571254e-08	3.52344353049681e-06	up
RAC2	0.865226562499999	6.03017047742365e-08	3.53145337528629e-06	up
RAP2B	0.5677340625	6.06136008123773e-08	3.53883025847232e-06	up
BRCA1	0.2789725	6.10027817455068e-08	3.5506603821475e-06	up
IFI6	0.5682315625	6.17508758218512e-08	3.58324390647499e-06	up
NECTIN3	-0.606055	6.19391186481518e-08	3.58324390647499e-06	down
SGPL1	0.529628437499999	6.24415219487749e-08	3.60136208257888e-06	up
C8orf48	-0.4836890625	6.32433643749781e-08	3.63658898534429e-06	down
ATG7	0.438344375000001	6.3494051326265e-08	3.64000686413495e-06	up
SGCE	-0.821225625	6.39637178877267e-08	3.64616103607795e-06	down
KIAA0930	0.5126509375	6.39845419035378e-08	3.64616103607795e-06	up
MYBL1	-0.6722496875	6.47163123838046e-08	3.66995942873552e-06	down
RNASET2	0.743631874999999	6.50513538725918e-08	3.66995942873552e-06	up
PIK3R6	0.3695634375	6.53184672802503e-08	3.66995942873552e-06	up
SP110	0.390143437499999	6.54646453570222e-08	3.66995942873552e-06	up
HK3	0.801113437500001	6.551669628982e-08	3.66995942873552e-06	up
MAN2B1	0.674789687499999	6.55590924063509e-08	3.66995942873552e-06	up
CD52	1.2631865625	6.61493213802118e-08	3.6719804434872e-06	up
MYL6	-0.268096874999999	6.61691426639357e-08	3.6719804434872e-06	down
NUP210	0.569207499999999	6.6205864482834e-08	3.6719804434872e-06	up
HHEX	0.518264374999999	6.63669034077444e-08	3.6719804434872e-06	up
LRRC1	-0.552375	6.67786536320283e-08	3.68405250602433e-06	down
ID4	-0.800647499999999	6.70817370723265e-08	3.69007717253639e-06	down
IGSF21	0.419675	6.7338542490924e-08	3.6915255142421e-06	up
TMEM47	-0.910900624999999	6.74959743054827e-08	3.6915255142421e-06	down
ITGB7	0.874045	6.78066269997432e-08	3.69445665462076e-06	up
SHKBP1	0.326434999999999	6.79377832773218e-08	3.69445665462076e-06	up
CTSL	0.779992499999998	6.82741100068756e-08	3.70216847795118e-06	up
PDIA4	0.3249684375	6.94018116322595e-08	3.72407918427567e-06	up
SLMAP	-0.558833125	6.9494184636507e-08	3.72407918427567e-06	down
LPXN	0.69423375	6.95387713633138e-08	3.72407918427567e-06	up
CBY1	-0.2691390625	6.9609432835337e-08	3.72407918427567e-06	down
TMEM37	0.480948749999999	6.96565013188745e-08	3.72407918427567e-06	up
VAC14	0.421941562499999	7.00018242533388e-08	3.73205804205546e-06	up
ELOVL4	-0.45823625	7.0713640873528e-08	3.73864016376628e-06	down
SHCBP1	0.554148124999999	7.08348628507473e-08	3.73864016376628e-06	up
TSPAN2	-0.9009625	7.09086243527491e-08	3.73864016376628e-06	down
RNF115	-0.550641562499999	7.09357659159181e-08	3.73864016376628e-06	down
ATP6V1A	0.563584374999999	7.11817406915096e-08	3.73864016376628e-06	up
GPR176	-0.3775465625	7.13038606340126e-08	3.73864016376628e-06	down
CLCN7	0.403908124999999	7.2681835523957e-08	3.80042136133921e-06	up
APBB1IP	0.886038437499999	7.36689198581689e-08	3.83326092584849e-06	up
PYGO1	-0.514472187499999	7.37697716777684e-08	3.83326092584849e-06	down
JARID2	0.441987499999999	7.39140839482161e-08	3.83326092584849e-06	up
CSF1	0.501283124999999	7.45438403088785e-08	3.84539526668024e-06	up
NBEAL2	0.356140625	7.45521385701156e-08	3.84539526668024e-06	up
F10	-0.327195624999999	7.52901286595498e-08	3.86384926751508e-06	down
STAT5A	0.3346790625	7.53159290835967e-08	3.86384926751508e-06	up
PLD5	-1.1113815625	7.56485258562729e-08	3.87047955006033e-06	down
